n, k, Satisfiable, Time taken (seconds), Timeout happened
30, 60, True, 0.0327, False
30, 59, True, 0.0280, False
30, 58, True, 0.0286, False
30, 57, True, 0.0292, False
30, 56, True, 0.0278, False
30, 55, True, 0.0288, False
30, 54, True, 0.0263, False
30, 53, True, 0.0268, False
30, 52, True, 0.0263, False
30, 51, True, 0.0265, False
30, 50, True, 0.0262, False
30, 49, True, 0.0250, False
30, 48, True, 0.0256, False
30, 47, True, 0.0257, False
30, 46, True, 0.0251, False
30, 45, True, 0.0270, False
30, 44, True, 0.0251, False
30, 43, True, 0.0238, False
30, 42, True, 0.0254, False
30, 41, True, 0.0257, False
30, 40, True, 0.0247, False
30, 39, True, 0.0238, False
30, 38, True, 0.0243, False
30, 37, True, 0.0247, False
30, 36, True, 0.0556, False
30, 35, True, 0.0287, False
30, 34, True, 0.0556, False
30, 33, True, 0.0228, False
30, 32, True, 0.0274, False
30, 31, True, 0.0242, False
30, 30, True, 0.0313, False
30, 29, True, 0.0445, False
30, 28, True, 0.0274, False
30, 27, True, 0.0218, False
30, 26, True, 0.0312, False
30, 25, True, 0.0252, False
30, 24, True, 0.0291, False
30, 23, True, 0.0582, False
30, 22, True, 0.0353, False
30, 21, True, 0.0236, False
30, 20, True, 0.0272, False
30, 19, True, 0.0276, False
30, 18, True, 0.0288, False
30, 17, True, 0.0232, False
30, 16, True, 0.0232, False
30, 15, True, 0.0213, False
30, 14, True, 0.0214, False
30, 13, True, 0.0227, False
30, 12, None, 120.0221, True
