n, k, Satisfiable, Time taken (seconds), Timeout happened
80, 160, True, 0.1825, False
80, 159, True, 0.1782, False
80, 158, True, 0.1826, False
80, 157, True, 0.1844, False
80, 156, True, 0.1707, False
80, 155, True, 0.1751, False
80, 154, True, 0.1775, False
80, 153, True, 0.1766, False
80, 152, True, 0.1717, False
80, 151, True, 0.1710, False
80, 150, True, 0.1766, False
80, 149, True, 0.1762, False
80, 148, True, 0.1694, False
80, 147, True, 0.1725, False
80, 146, True, 0.1618, False
80, 145, True, 0.1737, False
80, 144, True, 0.1641, False
80, 143, True, 0.1562, False
80, 142, True, 0.1647, False
80, 141, True, 0.1600, False
80, 140, True, 0.1516, False
80, 139, True, 0.1624, False
80, 138, True, 0.1524, False
80, 137, True, 0.1574, False
80, 136, True, 0.1481, False
80, 135, True, 0.1468, False
80, 134, True, 0.1432, False
80, 133, True, 0.1400, False
80, 132, True, 0.1400, False
80, 131, True, 0.1391, False
80, 130, True, 0.1619, False
80, 129, True, 0.1423, False
80, 128, True, 0.1367, False
80, 127, True, 0.1379, False
80, 126, True, 0.1311, False
80, 125, True, 0.1332, False
80, 124, True, 0.1327, False
80, 123, True, 0.1254, False
80, 122, True, 0.1269, False
80, 121, True, 0.1316, False
80, 120, True, 0.1221, False
80, 119, True, 0.1200, False
80, 118, True, 0.1220, False
80, 117, True, 0.1394, False
80, 116, True, 0.1143, False
80, 115, True, 0.1100, False
80, 114, True, 0.1130, False
80, 113, True, 0.1223, False
80, 112, True, 0.1184, False
80, 111, True, 0.1080, False
80, 110, True, 0.1083, False
80, 109, True, 0.1095, False
80, 108, True, 0.1129, False
80, 107, True, 0.1048, False
80, 106, True, 0.1112, False
80, 105, True, 0.1072, False
80, 104, True, 0.1033, False
80, 103, True, 0.0976, False
80, 102, True, 0.1025, False
80, 101, True, 0.0969, False
80, 100, True, 0.1006, False
80, 99, True, 0.1161, False
80, 98, True, 0.0909, False
80, 97, True, 0.0888, False
80, 96, True, 0.0886, False
80, 95, True, 0.0880, False
80, 94, True, 0.0885, False
80, 93, True, 0.0832, False
80, 92, True, 0.0847, False
80, 91, True, 0.0876, False
80, 90, True, 0.0882, False
80, 89, True, 0.0846, False
80, 88, True, 0.0812, False
80, 87, True, 0.0780, False
80, 86, True, 0.0760, False
80, 85, True, 0.0784, False
80, 84, True, 0.0803, False
80, 83, True, 0.0768, False
80, 82, True, 0.0824, False
80, 81, True, 0.0735, False
80, 80, True, 0.0715, False
80, 79, True, 0.0742, False
80, 78, True, 0.0740, False
80, 77, True, 0.0765, False
80, 76, True, 0.0715, False
80, 75, True, 0.0657, False
80, 74, True, 0.0786, False
80, 73, True, 0.0724, False
80, 72, True, 0.0643, False
80, 71, True, 0.0650, False
80, 70, True, 0.0666, False
80, 69, True, 0.0594, False
80, 68, True, 0.0678, False
80, 67, True, 0.0615, False
80, 66, True, 0.0690, False
80, 65, True, 0.0629, False
80, 64, True, 0.0549, False
80, 63, True, 0.0546, False
80, 62, True, 0.0565, False
80, 61, True, 0.0526, False
80, 60, True, 0.0523, False
80, 59, True, 0.0533, False
80, 58, True, 0.0503, False
80, 57, True, 0.0501, False
80, 56, True, 0.0463, False
80, 55, True, 0.0494, False
80, 54, True, 0.0639, False
80, 53, True, 0.0492, False
80, 52, True, 0.0521, False
80, 51, True, 0.0502, False
80, 50, True, 0.0458, False
80, 49, True, 0.0452, False
80, 48, True, 0.0501, False
80, 47, True, 0.0545, False
80, 46, True, 0.0408, False
80, 45, True, 0.0403, False
80, 44, True, 0.0446, False
80, 43, True, 0.0413, False
80, 42, True, 0.0407, False
80, 41, True, 0.0417, False
80, 40, True, 0.0379, False
80, 39, True, 0.0409, False
80, 38, True, 0.0343, False
80, 37, True, 0.0363, False
80, 36, True, 0.0345, False
80, 35, True, 0.0357, False
80, 34, True, 0.0330, False
80, 33, True, 0.0360, False
80, 32, True, 0.0386, False
80, 31, True, 0.0362, False
80, 30, True, 0.0359, False
80, 29, True, 0.0357, False
80, 28, True, 0.0319, False
80, 27, True, 0.0323, False
80, 26, True, 0.0371, False
80, 25, True, 0.0327, False
80, 24, True, 0.0297, False
80, 23, True, 0.0375, False
80, 22, True, 0.0314, False
80, 21, True, 0.0270, False
80, 20, True, 0.0403, False
80, 19, None, 120.0357, True
