n, k, Satisfiable, Time taken (seconds), Timeout happened
20, 40, True, 0.0393, False
20, 39, True, 0.0289, False
20, 38, True, 0.0355, False
20, 37, True, 0.0259, False
20, 36, True, 0.0275, False
20, 35, True, 0.0337, False
20, 34, True, 0.0299, False
20, 33, True, 0.0280, False
20, 32, True, 0.0345, False
20, 31, True, 0.0233, False
20, 30, True, 0.0337, False
20, 29, True, 0.0264, False
20, 28, True, 0.0271, False
20, 27, True, 0.0324, False
20, 26, True, 0.0269, False
20, 25, True, 0.0263, False
20, 24, True, 0.0256, False
20, 23, True, 0.0214, False
20, 22, True, 0.0270, False
20, 21, True, 0.0231, False
20, 20, True, 0.0233, False
20, 19, True, 0.0226, False
20, 18, True, 0.0251, False
20, 17, True, 0.0223, False
20, 16, True, 0.0220, False
20, 15, True, 0.0232, False
20, 14, True, 0.0256, False
20, 13, True, 0.0204, False
20, 12, None, 120.0338, True
