n, k, Satisfiable, Time taken (seconds), Timeout happened
50, 100, True, 0.0639, False
50, 99, True, 0.0669, False
50, 98, True, 0.0589, False
50, 97, True, 0.0600, False
50, 96, True, 0.0576, False
50, 95, True, 0.0593, False
50, 94, True, 0.0558, False
50, 93, True, 0.0558, False
50, 92, True, 0.0570, False
50, 91, True, 0.0617, False
50, 90, True, 0.0539, False
50, 89, True, 0.0550, False
50, 88, True, 0.0547, False
50, 87, True, 0.0503, False
50, 86, True, 0.0552, False
50, 85, True, 0.0520, False
50, 84, True, 0.0495, False
50, 83, True, 0.0499, False
50, 82, True, 0.0503, False
50, 81, True, 0.0488, False
50, 80, True, 0.0492, False
50, 79, True, 0.0491, False
50, 78, True, 0.0481, False
50, 77, True, 0.0439, False
50, 76, True, 0.0448, False
50, 75, True, 0.0455, False
50, 74, True, 0.0450, False
50, 73, True, 0.0419, False
50, 72, True, 0.0437, False
50, 71, True, 0.0433, False
50, 70, True, 0.0417, False
50, 69, True, 0.0429, False
50, 68, True, 0.0406, False
50, 67, True, 0.0418, False
50, 66, True, 0.0410, False
50, 65, True, 0.0400, False
50, 64, True, 0.0406, False
50, 63, True, 0.0384, False
50, 62, True, 0.0383, False
50, 61, True, 0.0405, False
50, 60, True, 0.0359, False
50, 59, True, 0.0363, False
50, 58, True, 0.0365, False
50, 57, True, 0.0367, False
50, 56, True, 0.0343, False
50, 55, True, 0.0337, False
50, 54, True, 0.0347, False
50, 53, True, 0.0327, False
50, 52, True, 0.0328, False
50, 51, True, 0.0332, False
50, 50, True, 0.0313, False
50, 49, True, 0.0309, False
50, 48, True, 0.0305, False
50, 47, True, 0.0484, False
50, 46, True, 0.0314, False
50, 45, True, 0.0304, False
50, 44, True, 0.0314, False
50, 43, True, 0.0314, False
50, 42, True, 0.0293, False
50, 41, True, 0.0281, False
50, 40, True, 0.0284, False
50, 39, True, 0.0278, False
50, 38, True, 0.0279, False
50, 37, True, 0.0281, False
50, 36, True, 0.0274, False
50, 35, True, 0.0292, False
50, 34, True, 0.0415, False
50, 33, True, 0.0253, False
50, 32, True, 0.0270, False
50, 31, True, 0.0266, False
50, 30, True, 0.0267, False
50, 29, True, 0.0246, False
50, 28, True, 0.0249, False
50, 27, True, 0.0247, False
50, 26, True, 0.0243, False
50, 25, True, 0.0234, False
50, 24, True, 0.0295, False
50, 23, True, 0.0542, False
50, 22, True, 0.0387, False
50, 21, True, 0.0279, False
50, 20, True, 0.0243, False
50, 19, True, 0.0296, False
50, 18, True, 0.0247, False
50, 17, True, 0.0605, False
50, 16, True, 0.0250, False
50, 15, True, 0.1183, False
50, 14, None, 120.0286, True
