n, k, Satisfiable, Time taken (seconds), Timeout happened
120, 240, True, 0.6036, False
120, 239, True, 0.5288, False
120, 238, True, 0.5067, False
120, 237, True, 0.5022, False
120, 236, True, 0.5619, False
120, 235, True, 0.5118, False
120, 234, True, 0.5040, False
120, 233, True, 0.5092, False
120, 232, True, 0.4974, False
120, 231, True, 0.4889, False
120, 230, True, 0.5170, False
120, 229, True, 0.4986, False
120, 228, True, 0.4787, False
120, 227, True, 0.4795, False
120, 226, True, 0.4629, False
120, 225, True, 0.4531, False
120, 224, True, 0.4558, False
120, 223, True, 0.4622, False
120, 222, True, 0.4558, False
120, 221, True, 0.4553, False
120, 220, True, 0.4383, False
120, 219, True, 0.4465, False
120, 218, True, 0.4502, False
120, 217, True, 0.4401, False
120, 216, True, 0.4312, False
120, 215, True, 0.4186, False
120, 214, True, 0.4655, False
120, 213, True, 0.4363, False
120, 212, True, 0.4278, False
120, 211, True, 0.4064, False
120, 210, True, 0.4141, False
120, 209, True, 0.4044, False
120, 208, True, 0.4211, False
120, 207, True, 0.4185, False
120, 206, True, 0.3995, False
120, 205, True, 0.4157, False
120, 204, True, 0.3943, False
120, 203, True, 0.3890, False
120, 202, True, 0.4015, False
120, 201, True, 0.4110, False
120, 200, True, 0.3867, False
120, 199, True, 0.3838, False
120, 198, True, 0.3742, False
120, 197, True, 0.3801, False
120, 196, True, 0.3698, False
120, 195, True, 0.3603, False
120, 194, True, 0.3516, False
120, 193, True, 0.3551, False
120, 192, True, 0.3742, False
120, 191, True, 0.3572, False
120, 190, True, 0.3629, False
120, 189, True, 0.3492, False
120, 188, True, 0.3317, False
120, 187, True, 0.3397, False
120, 186, True, 0.3512, False
120, 185, True, 0.3440, False
120, 184, True, 0.3430, False
120, 183, True, 0.3339, False
120, 182, True, 0.3305, False
120, 181, True, 0.3185, False
120, 180, True, 0.3226, False
120, 179, True, 0.3172, False
120, 178, True, 0.3114, False
120, 177, True, 0.3128, False
120, 176, True, 0.2959, False
120, 175, True, 0.3125, False
120, 174, True, 0.3063, False
120, 173, True, 0.2909, False
120, 172, True, 0.2851, False
120, 171, True, 0.2952, False
120, 170, True, 0.2871, False
120, 169, True, 0.2819, False
120, 168, True, 0.2914, False
120, 167, True, 0.2964, False
120, 166, True, 0.3068, False
120, 165, True, 0.2838, False
120, 164, True, 0.2791, False
120, 163, True, 0.2728, False
120, 162, True, 0.2735, False
120, 161, True, 0.2618, False
120, 160, True, 0.2748, False
120, 159, True, 0.2576, False
120, 158, True, 0.2669, False
120, 157, True, 0.2689, False
120, 156, True, 0.2452, False
120, 155, True, 0.2691, False
120, 154, True, 0.2415, False
120, 153, True, 0.2543, False
120, 152, True, 0.2739, False
120, 151, True, 0.2408, False
120, 150, True, 0.2417, False
120, 149, True, 0.2484, False
120, 148, True, 0.2320, False
120, 147, True, 0.2364, False
120, 146, True, 0.2369, False
120, 145, True, 0.2191, False
120, 144, True, 0.2187, False
120, 143, True, 0.2233, False
120, 142, True, 0.2186, False
120, 141, True, 0.2199, False
120, 140, True, 0.2075, False
120, 139, True, 0.2193, False
120, 138, True, 0.2120, False
120, 137, True, 0.2155, False
120, 136, True, 0.2074, False
120, 135, True, 0.1988, False
120, 134, True, 0.2037, False
120, 133, True, 0.1995, False
120, 132, True, 0.2048, False
120, 131, True, 0.2039, False
120, 130, True, 0.1971, False
120, 129, True, 0.1925, False
120, 128, True, 0.1825, False
120, 127, True, 0.1931, False
120, 126, True, 0.1889, False
120, 125, True, 0.1848, False
120, 124, True, 0.1806, False
120, 123, True, 0.1741, False
120, 122, True, 0.1798, False
120, 121, True, 0.1705, False
120, 120, True, 0.1697, False
120, 119, True, 0.1734, False
120, 118, True, 0.1630, False
120, 117, True, 0.1730, False
120, 116, True, 0.1618, False
120, 115, True, 0.1629, False
120, 114, True, 0.1647, False
120, 113, True, 0.1546, False
120, 112, True, 0.1607, False
120, 111, True, 0.1554, False
120, 110, True, 0.1531, False
120, 109, True, 0.1542, False
120, 108, True, 0.1434, False
120, 107, True, 0.1475, False
120, 106, True, 0.1502, False
120, 105, True, 0.1395, False
120, 104, True, 0.1455, False
120, 103, True, 0.1343, False
120, 102, True, 0.1446, False
120, 101, True, 0.1332, False
120, 100, True, 0.1306, False
120, 99, True, 0.1327, False
120, 98, True, 0.1287, False
120, 97, True, 0.1359, False
120, 96, True, 0.1227, False
120, 95, True, 0.1203, False
120, 94, True, 0.1225, False
120, 93, True, 0.1264, False
120, 92, True, 0.1278, False
120, 91, True, 0.1160, False
120, 90, True, 0.1152, False
120, 89, True, 0.1200, False
120, 88, True, 0.1110, False
120, 87, True, 0.1069, False
120, 86, True, 0.1193, False
120, 85, True, 0.1030, False
120, 84, True, 0.1123, False
120, 83, True, 0.1054, False
120, 82, True, 0.1002, False
120, 81, True, 0.0961, False
120, 80, True, 0.1091, False
120, 79, True, 0.0962, False
120, 78, True, 0.0981, False
120, 77, True, 0.0980, False
120, 76, True, 0.1012, False
120, 75, True, 0.0907, False
120, 74, True, 0.0900, False
120, 73, True, 0.0962, False
120, 72, True, 0.0894, False
120, 71, True, 0.0851, False
120, 70, True, 0.0827, False
120, 69, True, 0.0836, False
120, 68, True, 0.0833, False
120, 67, True, 0.0791, False
120, 66, True, 0.0758, False
120, 65, True, 0.0792, False
120, 64, True, 0.0737, False
120, 63, True, 0.0713, False
120, 62, True, 0.0692, False
120, 61, True, 0.0687, False
120, 60, True, 0.0720, False
120, 59, True, 0.0701, False
120, 58, True, 0.0736, False
120, 57, True, 0.0667, False
120, 56, True, 0.0746, False
120, 55, True, 0.0648, False
120, 54, True, 0.0640, False
120, 53, True, 0.0590, False
120, 52, True, 0.0574, False
120, 51, True, 0.0687, False
120, 50, True, 0.0600, False
120, 49, True, 0.0633, False
120, 48, True, 0.0564, False
120, 47, True, 0.0567, False
120, 46, True, 0.0518, False
120, 45, True, 0.0531, False
120, 44, True, 0.0506, False
120, 43, True, 0.0540, False
120, 42, True, 0.0493, False
120, 41, True, 0.0473, False
120, 40, True, 0.0508, False
120, 39, True, 0.0482, False
120, 38, True, 0.0442, False
120, 37, True, 0.0459, False
120, 36, True, 0.0472, False
120, 35, True, 0.0467, False
120, 34, True, 0.0428, False
120, 33, True, 0.0442, False
120, 32, True, 0.0448, False
120, 31, True, 0.0423, False
120, 30, True, 0.0424, False
120, 29, True, 0.0375, False
120, 28, True, 0.0347, False
120, 27, True, 0.0380, False
120, 26, True, 0.0368, False
120, 25, True, 0.0367, False
120, 24, True, 0.0422, False
120, 23, None, 120.0324, True
