n, k, Satisfiable, Time taken (seconds), Timeout happened
60, 120, True, 0.0927, False
60, 119, True, 0.0952, False
60, 118, True, 0.0947, False
60, 117, True, 0.0877, False
60, 116, True, 0.0914, False
60, 115, True, 0.0880, False
60, 114, True, 0.0838, False
60, 113, True, 0.0865, False
60, 112, True, 0.0875, False
60, 111, True, 0.0893, False
60, 110, True, 0.0845, False
60, 109, True, 0.0817, False
60, 108, True, 0.0786, False
60, 107, True, 0.0811, False
60, 106, True, 0.0741, False
60, 105, True, 0.0763, False
60, 104, True, 0.0761, False
60, 103, True, 0.0742, False
60, 102, True, 0.0760, False
60, 101, True, 0.0715, False
60, 100, True, 0.0750, False
60, 99, True, 0.0716, False
60, 98, True, 0.0711, False
60, 97, True, 0.0706, False
60, 96, True, 0.0684, False
60, 95, True, 0.0694, False
60, 94, True, 0.0664, False
60, 93, True, 0.0738, False
60, 92, True, 0.0653, False
60, 91, True, 0.0642, False
60, 90, True, 0.0643, False
60, 89, True, 0.0664, False
60, 88, True, 0.0631, False
60, 87, True, 0.0633, False
60, 86, True, 0.0607, False
60, 85, True, 0.0651, False
60, 84, True, 0.0574, False
60, 83, True, 0.0595, False
60, 82, True, 0.0581, False
60, 81, True, 0.0569, False
60, 80, True, 0.0543, False
60, 79, True, 0.0559, False
60, 78, True, 0.0561, False
60, 77, True, 0.0558, False
60, 76, True, 0.0560, False
60, 75, True, 0.0544, False
60, 74, True, 0.0566, False
60, 73, True, 0.0512, False
60, 72, True, 0.0515, False
60, 71, True, 0.0478, False
60, 70, True, 0.0514, False
60, 69, True, 0.0494, False
60, 68, True, 0.0575, False
60, 67, True, 0.0464, False
60, 66, True, 0.0489, False
60, 65, True, 0.0459, False
60, 64, True, 0.0440, False
60, 63, True, 0.0460, False
60, 62, True, 0.0426, False
60, 61, True, 0.0427, False
60, 60, True, 0.0449, False
60, 59, True, 0.0411, False
60, 58, True, 0.0442, False
60, 57, True, 0.0438, False
60, 56, True, 0.0384, False
60, 55, True, 0.0396, False
60, 54, True, 0.0421, False
60, 53, True, 0.0396, False
60, 52, True, 0.0381, False
60, 51, True, 0.0365, False
60, 50, True, 0.0364, False
60, 49, True, 0.0384, False
60, 48, True, 0.0357, False
60, 47, True, 0.0365, False
60, 46, True, 0.0348, False
60, 45, True, 0.0328, False
60, 44, True, 0.0337, False
60, 43, True, 0.0322, False
60, 42, True, 0.0361, False
60, 41, True, 0.0327, False
60, 40, True, 0.0305, False
60, 39, True, 0.0301, False
60, 38, True, 0.0312, False
60, 37, True, 0.0296, False
60, 36, True, 0.0303, False
60, 35, True, 0.0302, False
60, 34, True, 0.0278, False
60, 33, True, 0.0299, False
60, 32, True, 0.0300, False
60, 31, True, 0.0314, False
60, 30, True, 0.0265, False
60, 29, True, 0.0262, False
60, 28, True, 0.0270, False
60, 27, True, 0.0257, False
60, 26, True, 0.0267, False
60, 25, True, 0.0292, False
60, 24, True, 0.0249, False
60, 23, True, 0.0238, False
60, 22, True, 0.0240, False
60, 21, True, 0.0305, False
60, 20, True, 0.0258, False
60, 19, True, 0.0312, False
60, 18, True, 0.0309, False
60, 17, True, 0.0283, False
60, 16, True, 0.0275, False
60, 15, True, 7.2688, False
60, 14, None, 120.0283, True
