n, k, Satisfiable, Time taken (seconds), Timeout happened
40, 80, True, 0.0447, False
40, 79, True, 0.0409, False
40, 78, True, 0.0435, False
40, 77, True, 0.0399, False
40, 76, True, 0.0430, False
40, 75, True, 0.0415, False
40, 74, True, 0.0376, False
40, 73, True, 0.0378, False
40, 72, True, 0.0399, False
40, 71, True, 0.0381, False
40, 70, True, 0.0378, False
40, 69, True, 0.0373, False
40, 68, True, 0.0350, False
40, 67, True, 0.0383, False
40, 66, True, 0.0345, False
40, 65, True, 0.0341, False
40, 64, True, 0.0354, False
40, 63, True, 0.0354, False
40, 62, True, 0.0325, False
40, 61, True, 0.0332, False
40, 60, True, 0.0326, False
40, 59, True, 0.0314, False
40, 58, True, 0.0370, False
40, 57, True, 0.0343, False
40, 56, True, 0.0313, False
40, 55, True, 0.0320, False
40, 54, True, 0.0299, False
40, 53, True, 0.0315, False
40, 52, True, 0.0322, False
40, 51, True, 0.0300, False
40, 50, True, 0.0289, False
40, 49, True, 0.0308, False
40, 48, True, 0.0286, False
40, 47, True, 0.0303, False
40, 46, True, 0.0281, False
40, 45, True, 0.0273, False
40, 44, True, 0.0280, False
40, 43, True, 0.0266, False
40, 42, True, 0.0266, False
40, 41, True, 0.0260, False
40, 40, True, 0.0283, False
40, 39, True, 0.0273, False
40, 38, True, 0.0280, False
40, 37, True, 0.0271, False
40, 36, True, 0.0269, False
40, 35, True, 0.0251, False
40, 34, True, 0.0244, False
40, 33, True, 0.0239, False
40, 32, True, 0.0241, False
40, 31, True, 0.0271, False
40, 30, True, 0.0260, False
40, 29, True, 0.0262, False
40, 28, True, 0.0252, False
40, 27, True, 0.0290, False
40, 26, True, 0.0239, False
40, 25, True, 0.0241, False
40, 24, True, 0.0321, False
40, 23, True, 0.0242, False
40, 22, True, 0.0302, False
40, 21, True, 0.0575, False
40, 20, True, 0.0282, False
40, 19, True, 0.0287, False
40, 18, True, 0.0271, False
40, 17, True, 0.0228, False
40, 16, None, 120.0356, True
