n, k, Satisfiable, Time taken (seconds), Timeout happened
150, 300, True, 0.9995, False
150, 299, True, 0.9655, False
150, 298, True, 0.9893, False
150, 297, True, 0.9348, False
150, 296, True, 0.9296, False
150, 295, True, 0.9936, False
150, 294, True, 0.9695, False
150, 293, True, 0.9178, False
150, 292, True, 0.9433, False
150, 291, True, 0.9456, False
150, 290, True, 0.9134, False
150, 289, True, 0.9456, False
150, 288, True, 0.9178, False
150, 287, True, 0.9179, False
150, 286, True, 0.9110, False
150, 285, True, 0.8887, False
150, 284, True, 0.8555, False
150, 283, True, 0.8762, False
150, 282, True, 0.8347, False
150, 281, True, 0.8859, False
150, 280, True, 0.8718, False
150, 279, True, 0.8857, False
150, 278, True, 0.9070, False
150, 277, True, 0.8774, False
150, 276, True, 0.8399, False
150, 275, True, 0.8274, False
150, 274, True, 0.8775, False
150, 273, True, 0.8337, False
150, 272, True, 0.8041, False
150, 271, True, 0.8501, False
150, 270, True, 0.8215, False
150, 269, True, 0.8164, False
150, 268, True, 0.8048, False
150, 267, True, 0.8193, False
150, 266, True, 0.8441, False
150, 265, True, 0.7822, False
150, 264, True, 0.7625, False
150, 263, True, 0.7596, False
150, 262, True, 0.7619, False
150, 261, True, 0.7837, False
150, 260, True, 0.7534, False
150, 259, True, 0.7666, False
150, 258, True, 0.7729, False
150, 257, True, 0.7633, False
150, 256, True, 0.7451, False
150, 255, True, 0.7492, False
150, 254, True, 0.7546, False
150, 253, True, 0.7750, False
150, 252, True, 0.7107, False
150, 251, True, 0.7388, False
150, 250, True, 0.7244, False
150, 249, True, 0.7259, False
150, 248, True, 0.7034, False
150, 247, True, 0.7439, False
150, 246, True, 0.7261, False
150, 245, True, 0.6927, False
150, 244, True, 0.6981, False
150, 243, True, 0.6986, False
150, 242, True, 0.6833, False
150, 241, True, 0.6790, False
150, 240, True, 0.6831, False
150, 239, True, 0.6871, False
150, 238, True, 0.6435, False
150, 237, True, 0.6610, False
150, 236, True, 0.6574, False
150, 235, True, 0.6775, False
150, 234, True, 0.6548, False
150, 233, True, 0.6815, False
150, 232, True, 0.6690, False
150, 231, True, 0.6510, False
150, 230, True, 0.6404, False
150, 229, True, 0.6364, False
150, 228, True, 0.6465, False
150, 227, True, 0.6441, False
150, 226, True, 0.6203, False
150, 225, True, 0.6344, False
150, 224, True, 0.6576, False
150, 223, True, 0.6046, False
150, 222, True, 0.5786, False
150, 221, True, 0.5929, False
150, 220, True, 0.5706, False
150, 219, True, 0.5685, False
150, 218, True, 0.5831, False
150, 217, True, 0.5846, False
150, 216, True, 0.5794, False
150, 215, True, 0.5872, False
150, 214, True, 0.5601, False
150, 213, True, 0.5596, False
150, 212, True, 0.5761, False
150, 211, True, 0.5286, False
150, 210, True, 0.5407, False
150, 209, True, 0.5325, False
150, 208, True, 0.5075, False
150, 207, True, 0.5420, False
150, 206, True, 0.5231, False
150, 205, True, 0.5270, False
150, 204, True, 0.4938, False
150, 203, True, 0.5019, False
150, 202, True, 0.4951, False
150, 201, True, 0.4828, False
150, 200, True, 0.5158, False
150, 199, True, 0.4994, False
150, 198, True, 0.4876, False
150, 197, True, 0.4932, False
150, 196, True, 0.4691, False
150, 195, True, 0.4981, False
150, 194, True, 0.4586, False
150, 193, True, 0.4507, False
150, 192, True, 0.4763, False
150, 191, True, 0.4387, False
150, 190, True, 0.4417, False
150, 189, True, 0.4468, False
150, 188, True, 0.4554, False
150, 187, True, 0.4365, False
150, 186, True, 0.4168, False
150, 185, True, 0.5177, False
150, 184, True, 0.4439, False
150, 183, True, 0.4153, False
150, 182, True, 0.4112, False
150, 181, True, 0.4418, False
150, 180, True, 0.4230, False
150, 179, True, 0.3948, False
150, 178, True, 0.4203, False
150, 177, True, 0.4075, False
150, 176, True, 0.3992, False
150, 175, True, 0.3976, False
150, 174, True, 0.5216, False
150, 173, True, 0.3958, False
150, 172, True, 0.3764, False
150, 171, True, 0.3789, False
150, 170, True, 0.3578, False
150, 169, True, 0.3733, False
150, 168, True, 0.3781, False
150, 167, True, 0.3631, False
150, 166, True, 0.3844, False
150, 165, True, 0.3844, False
150, 164, True, 0.3680, False
150, 163, True, 0.3589, False
150, 162, True, 0.3607, False
150, 161, True, 0.3646, False
150, 160, True, 0.3547, False
150, 159, True, 0.3331, False
150, 158, True, 0.3392, False
150, 157, True, 0.3352, False
150, 156, True, 0.3305, False
150, 155, True, 0.3269, False
150, 154, True, 0.3372, False
150, 153, True, 0.3173, False
150, 152, True, 0.3123, False
150, 151, True, 0.3025, False
150, 150, True, 0.3112, False
150, 149, True, 0.3049, False
150, 148, True, 0.2890, False
150, 147, True, 0.2928, False
150, 146, True, 0.3011, False
150, 145, True, 0.2975, False
150, 144, True, 0.2916, False
150, 143, True, 0.2797, False
150, 142, True, 0.2749, False
150, 141, True, 0.2857, False
150, 140, True, 0.2798, False
150, 139, True, 0.2606, False
150, 138, True, 0.2714, False
150, 137, True, 0.2744, False
150, 136, True, 0.2621, False
150, 135, True, 0.2693, False
150, 134, True, 0.2545, False
150, 133, True, 0.2589, False
150, 132, True, 0.2460, False
150, 131, True, 0.2477, False
150, 130, True, 0.2459, False
150, 129, True, 0.2574, False
150, 128, True, 0.2527, False
150, 127, True, 0.2473, False
150, 126, True, 0.2263, False
150, 125, True, 0.2422, False
150, 124, True, 0.2330, False
150, 123, True, 0.2289, False
150, 122, True, 0.2204, False
150, 121, True, 0.2328, False
