n, k, Satisfiable, Time taken (seconds), Timeout happened
15, 30, True, 0.0317, False
15, 29, True, 0.0426, False
15, 28, True, 0.0287, False
15, 27, True, 0.0251, False
15, 26, True, 0.0237, False
15, 25, True, 0.0346, False
15, 24, True, 0.0247, False
15, 23, True, 0.0223, False
15, 22, True, 0.0270, False
15, 21, True, 0.0239, False
15, 20, True, 0.0289, False
15, 19, True, 0.0234, False
15, 18, True, 0.0287, False
15, 17, True, 0.0532, False
15, 16, True, 0.0277, False
15, 15, True, 0.0227, False
15, 14, True, 0.0271, False
15, 13, True, 0.0223, False
15, 12, True, 0.0226, False
15, 11, True, 0.0226, False
15, 10, True, 0.0225, False
15, 9, False, 0.1954, False
