n, k, Satisfiable, Time taken (seconds), Timeout happened
100, 200, True, 0.3280, False
100, 199, True, 0.3099, False
100, 198, True, 0.3223, False
100, 197, True, 0.3075, False
100, 196, True, 0.3172, False
100, 195, True, 0.3112, False
100, 194, True, 0.2979, False
100, 193, True, 0.3134, False
100, 192, True, 0.2909, False
100, 191, True, 0.2868, False
100, 190, True, 0.2857, False
100, 189, True, 0.3019, False
100, 188, True, 0.2839, False
100, 187, True, 0.2944, False
100, 186, True, 0.2808, False
100, 185, True, 0.2898, False
100, 184, True, 0.2885, False
100, 183, True, 0.2805, False
100, 182, True, 0.2667, False
100, 181, True, 0.2818, False
100, 180, True, 0.2635, False
100, 179, True, 0.2588, False
100, 178, True, 0.2712, False
100, 177, True, 0.2717, False
100, 176, True, 0.2535, False
100, 175, True, 0.2686, False
100, 174, True, 0.2495, False
100, 173, True, 0.2554, False
100, 172, True, 0.2545, False
100, 171, True, 0.2509, False
100, 170, True, 0.2545, False
100, 169, True, 0.2547, False
100, 168, True, 0.2419, False
100, 167, True, 0.2399, False
100, 166, True, 0.2268, False
100, 165, True, 0.2389, False
100, 164, True, 0.2270, False
100, 163, True, 0.2351, False
100, 162, True, 0.2239, False
100, 161, True, 0.2218, False
100, 160, True, 0.2251, False
100, 159, True, 0.2230, False
100, 158, True, 0.2170, False
100, 157, True, 0.2205, False
100, 156, True, 0.2175, False
100, 155, True, 0.2115, False
100, 154, True, 0.2168, False
100, 153, True, 0.2109, False
100, 152, True, 0.2069, False
100, 151, True, 0.2050, False
100, 150, True, 0.1994, False
100, 149, True, 0.2064, False
100, 148, True, 0.1927, False
100, 147, True, 0.1944, False
100, 146, True, 0.1987, False
100, 145, True, 0.1970, False
100, 144, True, 0.1879, False
100, 143, True, 0.1887, False
100, 142, True, 0.1879, False
100, 141, True, 0.2207, False
100, 140, True, 0.1759, False
100, 139, True, 0.1823, False
100, 138, True, 0.1795, False
100, 137, True, 0.1738, False
100, 136, True, 0.1784, False
100, 135, True, 0.1747, False
100, 134, True, 0.1651, False
100, 133, True, 0.1759, False
100, 132, True, 0.1624, False
100, 131, True, 0.1707, False
100, 130, True, 0.1609, False
100, 129, True, 0.1677, False
100, 128, True, 0.1598, False
100, 127, True, 0.1599, False
100, 126, True, 0.1562, False
100, 125, True, 0.1555, False
100, 124, True, 0.1499, False
100, 123, True, 0.1534, False
100, 122, True, 0.1502, False
100, 121, True, 0.1462, False
100, 120, True, 0.1540, False
100, 119, True, 0.1480, False
100, 118, True, 0.1385, False
100, 117, True, 0.1382, False
100, 116, True, 0.1361, False
100, 115, True, 0.1400, False
100, 114, True, 0.1335, False
100, 113, True, 0.1338, False
100, 112, True, 0.1324, False
100, 111, True, 0.1256, False
100, 110, True, 0.1318, False
100, 109, True, 0.1299, False
100, 108, True, 0.1267, False
100, 107, True, 0.1294, False
100, 106, True, 0.1245, False
100, 105, True, 0.1220, False
100, 104, True, 0.1209, False
100, 103, True, 0.1213, False
100, 102, True, 0.1107, False
100, 101, True, 0.1153, False
100, 100, True, 0.1080, False
100, 99, True, 0.1090, False
100, 98, True, 0.1084, False
100, 97, True, 0.1107, False
100, 96, True, 0.1146, False
100, 95, True, 0.1241, False
100, 94, True, 0.1084, False
100, 93, True, 0.1011, False
100, 92, True, 0.1048, False
100, 91, True, 0.1007, False
100, 90, True, 0.1010, False
100, 89, True, 0.0997, False
100, 88, True, 0.0953, False
100, 87, True, 0.0924, False
100, 86, True, 0.0974, False
100, 85, True, 0.0968, False
100, 84, True, 0.0970, False
100, 83, True, 0.0955, False
100, 82, True, 0.0875, False
100, 81, True, 0.0857, False
100, 80, True, 0.0887, False
100, 79, True, 0.0859, False
100, 78, True, 0.0835, False
100, 77, True, 0.0789, False
100, 76, True, 0.0758, False
100, 75, True, 0.0806, False
100, 74, True, 0.0813, False
100, 73, True, 0.0745, False
100, 72, True, 0.1923, False
100, 71, True, 0.0716, False
100, 70, True, 0.0727, False
100, 69, True, 0.0780, False
100, 68, True, 0.0745, False
100, 67, True, 0.0709, False
100, 66, True, 0.0688, False
100, 65, True, 0.0694, False
100, 64, True, 0.0653, False
100, 63, True, 0.0662, False
100, 62, True, 0.0675, False
100, 61, True, 0.0635, False
100, 60, True, 0.0595, False
100, 59, True, 0.0614, False
100, 58, True, 0.0560, False
100, 57, True, 0.0571, False
100, 56, True, 0.0575, False
100, 55, True, 0.0569, False
100, 54, True, 0.0572, False
100, 53, True, 0.0567, False
100, 52, True, 0.0546, False
100, 51, True, 0.0537, False
100, 50, True, 0.0494, False
100, 49, True, 0.0480, False
100, 48, True, 0.0491, False
100, 47, True, 0.0476, False
100, 46, True, 0.0524, False
100, 45, True, 0.0491, False
100, 44, True, 0.0460, False
100, 43, True, 0.0425, False
100, 42, True, 0.0440, False
100, 41, True, 0.0439, False
100, 40, True, 0.0422, False
100, 39, True, 0.0468, False
100, 38, True, 0.0444, False
100, 37, True, 0.0443, False
100, 36, True, 0.0458, False
100, 35, True, 0.0384, False
100, 34, True, 0.0392, False
100, 33, True, 0.0389, False
100, 32, True, 0.0363, False
100, 31, True, 0.0373, False
100, 30, True, 0.0338, False
100, 29, True, 0.0351, False
100, 28, True, 0.0406, False
100, 27, True, 0.0381, False
100, 26, True, 0.0522, False
100, 25, True, 0.0393, False
100, 24, True, 0.0336, False
100, 23, None, 120.0232, True
